
2019-05-16 19:55:57 : 

[*] Agent info:
  nonce           	7445767061672652
  jitter          	0.0
  servers         	None
  internal_ip     	192.168.226.1 fe80::9442:f8f3:5b23:22d1 192.168.153.1
                                fe80::78a5:53be:b208:43ea 192.168.1.5 fe80::a41d:e79e:d3d7:49a8
                                169.254.182.30 fe80::4d72:dc5a:5819:b61e
  working_hours   	
  session_key     	h:}c3FNTSI75$M=4<ul1RX+Yp?/\2^Z8
  children        	None
  checkin_time    	2019-05-16 19:55:56
  hostname        	LAMEDIM-LT
  id              	2
  delay           	5
  username        	LAMEDIM-LT\User
  kill_date       	
  parent          	None
  process_name    	powershell
  listener        	http
  process_id      	9996
  profile         	/admin/get.php,/news.php,/login/process.php|Mozilla/5.0 (Windows NT
                                6.1; WOW64; Trident/7.0; rv:11.0) like Gecko
  os_details      	Microsoft Windows 10 Home
  lost_limit      	60
  taskings        	None
  name            	P8A21MH4
  language        	powershell
  external_ip     	192.168.153.1
  session_id      	P8A21MH4
  lastseen_time   	2019-05-16 19:55:56
  language_version	5
  high_integrity  	1


[+] Agent P8A21MH4 now active:


2019-05-16 19:56:59 : 
[*] Agent renamed from P8A21MH4 to UACbypass
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:42 AM 30720     aeevts.dll                                          
-a---- NT SERVICE\TrustedInstaller 5/15/2019 7:00:18 AM  737080    aeinv.dll                                           
-a---- NT SERVICE\TrustedInstaller 5/15/2019 7:00:05 AM  513040    aepic.dll                                           
-a---- BUILTIN\Administrators      3/4/2016 3:51:48 AM   574760    AERTAC64.dll                                        
-a---- BUILTIN\Administrators      3/4/2016 3:51:48 AM   118600    AERTAR64.dll                                        
-a---- NT SERVICE\TrustedInstaller 5/15/2019 7:00:17 AM  2871304   aitstatic.exe                                       
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:30 AM 25088     AJRouter.dll                                        
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:38 AM 94720     alg.exe                                             
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:29:14 AM 162816    altspace.dll                                        
-a---- NT SERVICE\TrustedInstaller 9/15/2018 12:09:43 PM 18944     amcompat.tlb                                        
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:26 AM 65536     amsi.dll                                            
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:26 AM 14848     amsiproxy.dll                                       
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:29:21 AM 97792     amstream.dll                                        
-a---- NT SERVICE\TrustedInstaller 9/15/2018 12:10:59 PM 174080    Analog.Shell.Broker.dll                             
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:29:24 AM 41984     AnalogCommonProxyStub.dll                           
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:29:17 AM 251904    apds.dll                                            
-a---- NT SERVICE\TrustedInstaller 9/14/2018 9:03:00 PM  71680     APHostClient.dll                                    
-a---- NT SERVICE\TrustedInstaller 9/14/2018 9:03:00 PM  16384     APHostRes.dll                                       
-a---- NT SERVICE\TrustedInstaller 9/14/2018 8:57:00 PM  329728    APHostService.dll                                   
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:30 AM 87040     ApiSetHost.AppExecutionAlias.dll                    
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:25 AM 116536    apisetschema.dll                                    
-a---- NT SERVICE\TrustedInstaller 5/15/2019 7:00:14 AM  1267712   APMon.dll                                           
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:30 AM 928768    AppContracts.dll                                    
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:29 AM 178176    AppExtension.dll                                    
-a---- NT SERVICE\TrustedInstaller 5/15/2019 7:00:17 AM  553984    apphelp.dll                                         
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:43 AM 33792     Apphlpdm.dll                                        
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:30 AM 114176    AppHostRegistrationVerifier.exe                     
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:42 AM 64784     appidapi.dll                                        
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:42 AM 19456     appidcertstorecheck.exe                             
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:42 AM 158720    appidpolicyconverter.exe                            
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:42 AM 78336     appidsvc.dll                                        
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:42 AM 25600     appidtel.exe                                        
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:30 AM 176640    appinfo.dll                                         
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:52 AM 12288     appinfoext.dll                                      
-a---- NT SERVICE\TrustedInstaller 5/15/2019 7:00:16 AM  669184    ApplicationFrame.dll                                
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:39 AM 72776     ApplicationFrameHost.exe                            
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:42 AM 382976    AppLockerCSP.dll                                    
-a---- NT SERVICE\TrustedInstaller 5/15/2019 7:00:09 AM  1054200   ApplyTrustOffline.exe                               
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:29:25 AM 112128    AppMon.dll                                          
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:36 AM 143360    AppointmentActivation.dll                           
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:34 AM 779264    AppointmentApis.dll                                 
-a---- NT SERVICE\TrustedInstaller 5/15/2019 7:00:17 AM  1647632   appraiser.dll                                       
-a---- NT SERVICE\TrustedInstaller 5/15/2019 7:00:07 AM  676352    AppReadiness.dll                                    
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:42 AM 12800     apprepapi.dll                                       
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:39 AM 555232    AppResolver.dll                                     
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:24 AM 238592    ApproveChildRequest.exe                             
-a---- NT SERVICE\TrustedInstaller 5/15/2019 7:00:10 AM  178176    appsruprov.dll                                      
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:29:14 AM 918528    appwiz.cpl                                          
-a---- NT SERVICE\TrustedInstaller 5/15/2019 7:00:09 AM  346624    AppxAllUserStore.dll                                
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:26 AM 207360    AppXApplicabilityBlob.dll                           
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:26 AM 225280    AppxApplicabilityEngine.dll                         
-a---- NT SERVICE\TrustedInstaller 5/15/2019 7:00:04 AM  865784    AppXDeploymentClient.dll                            
-a---- NT SERVICE\TrustedInstaller 5/15/2019 7:00:09 AM  1605120   AppXDeploymentExtensions.desktop.dll                
-a---- NT SERVICE\TrustedInstaller 5/15/2019 7:00:09 AM  2189312   AppXDeploymentExtensions.onecore.dll                
-a---- NT SERVICE\TrustedInstaller 5/15/2019 7:00:09 AM  3384832   AppXDeploymentServer.dll                            
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:34 AM 1662264   AppxPackaging.dll                                   
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:29 AM 3022      AppxProvisioning.xml                                
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:36 AM 270848    AppxSip.dll                                         
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:34 AM 19968     AppxStreamingDataSourcePS.dll                       
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:29 AM 126976    AppxSysprep.dll                                     
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:29:14 AM 622080    archiveint.dll                                      
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:29:14 AM 26112     ARP.EXE                                             
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:29:36 AM 2560      asferror.dll                                        
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:29:50 AM 30880     aspnet_counters.dll                                 
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:30 AM 60416     AssignedAccessRuntime.dll                           
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:55 AM 89088     asycfilt.dll                                        
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:45 AM 30720     at.exe                                              
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:42 AM 78848     AtBroker.exe                                        
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:44 AM 96768     atl.dll                                             
-a---- NT AUTHORITY\SYSTEM         6/11/2011 1:15:38 AM  158536    atl100.dll                                          
-a---- NT AUTHORITY\SYSTEM         11/6/2012 7:26:22 AM  200136    atl110.dll                                          
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:30 AM 40960     atlthunk.dll                                        
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:47 AM 47616     atmlib.dll                                          
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:29:16 AM 21504     attrib.exe                                          
-a---- NT SERVICE\TrustedInstaller 5/15/2019 7:00:07 AM  604336    audiodg.exe                                         
-a---- NT SERVICE\TrustedInstaller 5/15/2019 7:00:07 AM  749568    AudioEndpointBuilder.dll                            
-a---- NT SERVICE\TrustedInstaller 5/15/2019 7:00:07 AM  2085376   AudioEng.dll                                        
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:56 AM 359424    AudioHandlers.dll                                   
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:20 AM 419112    AUDIOKSE.dll                                        
-a---- BUILTIN\Administrators      3/4/2016 3:51:48 AM   105312    audioLibVc.dll                                      
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:20 AM 57344     audioresourceregistrar.dll                          
-a---- NT SERVICE\TrustedInstaller 5/15/2019 7:00:07 AM  1331536   AudioSes.dll                                        
-a---- NT SERVICE\TrustedInstaller 5/15/2019 7:00:07 AM  1931264   audiosrv.dll                                        
-a---- NT SERVICE\TrustedInstaller 5/15/2019 7:00:07 AM  343984    AudioSrvPolicyManager.dll                           
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:57 AM 199168    auditcse.dll                                        
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:29:14 AM 35328     auditpol.exe                                        
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:29:14 AM 71680     auditpolcore.dll                                    
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:29 AM 206848    AuthBroker.dll                                      
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:45 AM 110592    AuthBrokerUI.dll                                    
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:29:13 AM 52224     authentication.dll                                  
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:57 AM 67072     AuthExt.dll                                         
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:29:19 AM 526848    authfwcfg.dll                                       
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:51 AM 305152    AuthFWGP.dll                                        
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:51 AM 5107200   AuthFWSnapin.dll                                    
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:51 AM 112640    AuthFWWizFwk.dll                                    
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:38 AM 138624    AuthHost.exe                                        
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:38 AM 18944     AuthHostProxy.dll                                   
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:44 AM 504832    authui.dll                                          
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:46 AM 286720    authz.dll                                           
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:42 AM 956416    autochk.exe                                         
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:29:14 AM 934400    autoconv.exe                                        
